Hama,T1 (Ringan),T2 (Sedang),T3 (Berat),T4 (Ekstra Khusus)
Virus Kuning,7.85,1.95,0.65,0.20
Lalat Buah,14.50,2.00,0.25,0.10
Antraknose,10.20,0.60,0.35,0.25
Thrips,9.30,1.10,0.40,0.15
Kutu Daun,2.90,0.20,0.15,0.05
Tungau,1.80,0.10,0.05,0.03
Layu Fusarium,1.75,0.15,0.10,0.08
Layu Bakeri,0.75,0.05,0.05,0.02
Virus Keriting,0.15,0.10,0.30,0.12
Mati Pucuk,0.20,0.05,0.10,0.01
Puru Buah,1.40,0.25,0.10,0.07
Jamur Tepung,3.00,0.50,0.20,0.15
Bercak Daun,4.20,0.80,0.30,0.10
Busuk Akroot,2.50,0.60,0.40,0.12
Karat Daun,5.10,1.00,0.50,0.20
Busuk Batang,1.80,0.30,0.15,0.07
Penyakit Cendawan,2.30,0.40,0.25,0.12
Jamur Hitam,6.00,1.20,0.50,0.30
Luka Kering,4.50,0.90,0.40,0.18
Bintik Daun,3.70,0.70,0.25,0.15
Keriput Daun,5.60,1.10,0.45,0.22
Pustula,2.10,0.35,0.15,0.10
Busuk Basal,3.40,0.70,0.30,0.12
Serangan Nematoda,2.80,0.50,0.20,0.08
Gagal Tumbuh,1.90,0.40,0.25,0.10
Jamur Akar,2.60,0.55,0.30,0.15
Cendawan Hitam,4.80,1.00,0.35,0.20
Hama Kutu,3.10,0.60,0.25,0.12
Bercak Coklat,4.00,0.75,0.35,0.18
Busuk Umbi,2.20,0.50,0.25,0.10
Karat Batang,5.40,1.10,0.40,0.22
Bintik Kuning,3.80,0.65,0.30,0.12
Keriput Batang,4.90,0.85,0.45,0.20
Gulma,6.20,1.25,0.50,0.25
Layu Meristem,2.90,0.55,0.30,0.15
Serangan Kutu Daun,3.50,0.70,0.35,0.10
Jamur Akar Merah,2.40,0.60,0.30,0.20
Bintik Hitam,5.00,1.05,0.40,0.18
Penyakit Daun,4.70,0.90,0.45,0.22
Karat Cendawan,3.20,0.55,0.30,0.15
Gagal Berbuah,4.80,1.00,0.35,0.20
Hama Kutu Daun,2.70,0.50,0.20,0.12
